"year","race","hispanic","region","partyid","coninc","polviews"
1972,1,NA,2,5,41667,NA
1972,1,NA,2,1,60185,NA
1972,1,NA,2,4,83333,NA
1972,1,NA,2,0,41667,NA
1972,1,NA,2,4,83333,NA
1972,1,NA,2,1,69444,NA
1972,1,NA,2,6,50926,NA
1972,1,NA,2,3,NA,NA
1972,1,NA,2,3,69444,NA
1972,1,NA,2,1,25926,NA
1972,1,NA,2,1,25926,NA
1972,1,NA,2,0,33333,NA
1972,1,NA,2,1,50926,NA
1972,1,NA,2,5,33333,NA
1972,1,NA,2,3,50926,NA
1972,1,NA,2,4,83333,NA
1972,1,NA,4,0,25926,NA
1972,1,NA,4,5,33333,NA
1972,1,NA,4,4,11111,NA
1972,1,NA,4,4,50926,NA
1972,1,NA,4,1,18519,NA
1972,1,NA,4,3,130356,NA
1972,1,NA,4,6,41667,NA
1972,1,NA,7,2,25926,NA
1972,1,NA,7,3,18519,NA
1972,1,NA,7,1,NA,NA
1972,1,NA,7,0,18519,NA
1972,1,NA,7,1,18519,NA
1972,1,NA,7,2,NA,NA
1972,1,NA,7,1,25926,NA
1972,1,NA,7,4,NA,NA
1972,1,NA,7,3,33333,NA
1972,1,NA,7,0,3704,NA
1972,1,NA,7,1,18519,NA
1972,1,NA,7,6,3704,NA
1972,1,NA,7,0,NA,NA
1972,1,NA,7,0,3704,NA
1972,1,NA,7,5,11111,NA
1972,1,NA,7,0,11111,NA
1972,1,NA,4,3,41667,NA
1972,1,NA,4,6,41667,NA
1972,1,NA,4,4,41667,NA
1972,1,NA,4,5,11111,NA
1972,1,NA,4,4,11111,NA
1972,1,NA,4,5,25926,NA
1972,1,NA,4,6,33333,NA
1972,1,NA,4,6,41667,NA
1972,1,NA,4,2,83333,NA
1972,1,NA,4,5,25926,NA
1972,1,NA,4,0,83333,NA
1972,1,NA,4,0,60185,NA
1972,1,NA,4,0,50926,NA
1972,1,NA,4,7,101852,NA
1972,1,NA,1,3,69444,NA
1972,1,NA,1,4,60185,NA
1972,1,NA,1,6,69444,NA
1972,1,NA,1,3,50926,NA
1972,1,NA,1,3,50926,NA
1972,1,NA,1,6,83333,NA
1972,1,NA,1,1,83333,NA
1972,1,NA,1,4,60185,NA
1972,1,NA,6,2,50926,NA
1972,1,NA,6,5,33333,NA
1972,1,NA,6,2,33333,NA
1972,1,NA,6,1,33333,NA
1972,1,NA,6,3,18519,NA
1972,1,NA,6,5,33333,NA
1972,1,NA,6,3,41667,NA
1972,1,NA,6,1,18519,NA
1972,1,NA,7,1,25926,NA
1972,1,NA,7,1,33333,NA
1972,1,NA,7,6,130356,NA
1972,1,NA,7,0,60185,NA
1972,1,NA,7,5,33333,NA
1972,1,NA,7,7,69444,NA
1972,1,NA,7,3,18519,NA
1972,1,NA,7,1,33333,NA
1972,1,NA,7,0,3704,NA
1972,1,NA,7,1,25926,NA
1972,1,NA,7,3,11111,NA
1972,1,NA,7,5,33333,NA
1972,1,NA,7,1,33333,NA
1972,1,NA,7,5,25926,NA
1972,1,NA,7,1,11111,NA
1972,1,NA,7,1,11111,NA
1972,1,NA,4,4,69444,NA
1972,1,NA,4,1,50926,NA
1972,1,NA,4,6,41667,NA
1972,1,NA,4,0,60185,NA
1972,1,NA,4,5,11111,NA
1972,1,NA,4,2,18519,NA
1972,1,NA,4,4,60185,NA
1972,1,NA,4,1,60185,NA
1972,1,NA,4,6,11111,NA
1972,1,NA,4,1,33333,NA
1972,1,NA,4,2,11111,NA
1972,1,NA,4,1,33333,NA
1972,1,NA,4,3,33333,NA
1972,1,NA,4,0,50926,NA
1972,1,NA,4,5,11111,NA
1972,1,NA,4,1,41667,NA
1972,1,NA,4,1,11111,NA
1972,1,NA,4,4,33333,NA
1972,1,NA,4,0,18519,NA
